,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
194,Harrison Bryant,CLE,TE,24,2,1,0,0,0,0,0,0,0,,0,8,5,63,12.60,0,0,0,0,,,6,11.3,11.3,8.8,,25,
195,Donovan Peoples-Jones,CLE,WR,23,2,2,0,0,0,0,0,0,0,,0,12,6,60,10.00,0,0,0,0,,,6,12.0,12.0,9.0,,80,
196,Mike Strachan,IND,WR,25,2,0,0,0,0,0,0,0,0,,0,5,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,82,
197,Dalton Schultz,DAL,TE,26,2,2,0,0,0,0,0,0,0,,0,13,9,80,8.89,0,1,1,0,,,6,15.0,16.0,10.5,,28,
198,T.J. Hockenson,DET,TE,25,2,2,0,0,0,0,0,0,0,,0,14,7,64,9.14,0,0,0,0,,,6,13.4,13.4,9.9,,24,
199,Joe Fortson,KAN,TE,27,2,0,0,0,0,0,0,0,0,,0,2,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,26,
200,River Cracraft,MIA,WR,28,2,0,0,0,0,0,0,0,0,,0,2,1,2,2.00,1,0,0,1,,,6,7.2,7.2,6.7,,79,
201,Kendrick Bourne,NWE,WR,27,2,0,0,0,0,0,0,0,0,,0,4,3,57,19.00,0,0,0,0,,,6,8.7,8.7,7.2,,84,
202,Chris Myarick,NYG,TE,27,2,2,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,27,
203,Braxton Berrios,NYJ,WR,27,2,0,0,0,0,0,0,2,22,11.00,0,6,5,37,7.40,0,0,0,0,,,6,10.9,10.9,8.4,,83,
204,Hunter Renfrow,LVR,WR,27,2,1,0,0,0,0,0,0,0,,0,16,10,80,8.00,0,3,1,0,,,6,16.0,17.0,11.0,,81,
205,Cam Akers,LAR,RB,23,2,0,0,0,0,0,0,18,44,2.44,0,3,2,18,9.00,0,0,0,0,,,6,8.2,8.2,7.2,,54,
206,Joshua Kelley,LAC,RB,25,2,0,0,0,0,0,0,8,43,5.38,0,4,3,17,5.67,0,0,0,0,,,6,9.0,9.0,7.5,,56,
207,Kyle Juszczyk,SFO,RB,31,2,1,0,0,0,0,0,2,1,0.50,1,3,0,0,,0,0,0,1,,,6,6.1,6.1,6.1,,55,
208,Dawson Knox,BUF,TE,26,2,2,0,0,0,0,0,0,0,,0,7,5,46,9.20,0,0,0,0,,,5,9.6,9.6,7.1,,31,
209,Jake Kumerow,BUF,WR,30,2,1,0,0,0,0,0,0,0,,0,3,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,89,
210,Samaje Perine,CIN,RB,27,2,0,0,0,0,0,0,2,6,3.00,0,6,4,41,10.25,0,0,0,0,,,5,8.7,8.7,6.7,,59,
211,A.J. Green,ARI,WR,34,2,2,0,0,0,0,0,0,0,,0,11,5,29,5.80,0,0,0,0,1,,5,9.9,9.9,7.4,,91,
212,Andrew Beck,DEN,TE,26,2,1,0,0,0,0,0,1,-1,-1.00,0,3,2,52,26.00,0,0,0,0,,,5,7.1,7.1,6.1,,29,
213,Randall Cobb,GNB,WR,32,2,1,0,0,0,0,0,0,0,,0,6,5,51,10.20,0,0,0,0,,,5,10.1,10.1,7.6,,87,
214,Robert Tonyan,GNB,TE,28,2,1,0,0,0,0,0,0,0,,0,7,5,47,9.40,0,0,0,0,,,5,9.7,9.7,7.2,,30,
216,Christian Watson,GNB,WR,23,2,1,0,0,0,0,0,1,7,7.00,0,7,5,43,8.60,0,0,0,0,,,5,10.0,10.0,7.5,,90,
217,Chris Moore,HOU,WR,29,2,0,0,0,0,0,0,0,0,,0,7,5,45,9.00,0,0,0,0,,,5,9.5,9.5,7.0,,92,
218,Marquez Valdes-Scantling,KAN,WR,28,2,2,0,0,0,0,0,1,-3,-3.00,0,11,6,57,9.50,0,0,0,0,,,5,11.4,11.4,8.4,,85,
219,Alexander Mattison,MIN,RB,24,2,0,0,0,0,0,0,10,44,4.40,0,5,3,6,2.00,0,0,0,0,,,5,8.0,8.0,6.5,,58,
220,Johnny Mundt,MIN,TE,28,2,2,0,0,0,0,0,0,0,,0,6,5,45,9.00,0,0,0,0,,,5,9.5,9.5,7.0,,32,
221,Mark Ingram,NOR,RB,33,2,1,0,0,0,0,0,14,82,5.86,0,3,3,4,1.33,0,2,2,0,,,5,7.6,9.6,6.1,,60,
222,Alvin Kamara,NOR,RB,27,1,1,0,0,0,0,0,9,39,4.33,0,4,3,7,2.33,0,0,0,0,,,5,7.6,7.6,6.1,,61,
223,Robert Woods,TEN,WR,30,2,2,0,0,0,0,0,0,0,,0,7,5,52,10.40,0,0,0,0,,,5,10.2,10.2,7.7,,86,
224,Kenyan Drake,BAL,RB,28,2,2,0,0,0,0,0,17,39,2.29,0,1,1,15,15.00,0,0,0,0,,,5,6.4,6.4,5.9,,57,
225,D.K. Metcalf,SEA,WR,25,2,2,0,0,0,0,0,0,0,,0,13,11,71,6.45,0,1,1,0,,,5,16.1,17.1,10.6,,88,
226,Kyle Pitts,ATL,TE,22,2,2,0,0,0,0,0,0,0,,0,10,4,38,9.50,0,0,0,0,,,4,7.8,7.8,5.8,,37,
227,James Cook,BUF,RB,23,2,0,0,0,0,0,0,12,55,4.58,0,1,0,0,,0,1,1,0,,,4,3.5,4.5,3.5,,65,
228,Jamison Crowder,BUF,WR,29,2,0,0,0,0,0,0,0,0,,0,6,4,44,11.00,0,0,0,0,,,4,8.4,8.4,6.4,,93,
229,David Njoku,CLE,TE,26,2,2,0,0,0,0,0,0,0,,0,6,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,36,
230,Anthony Schwartz,CLE,WR,22,2,0,0,0,0,0,0,2,20,10.00,0,2,1,19,19.00,0,0,0,0,,,4,4.9,4.9,4.4,,97,
231,Mo Alie-Cox,IND,TE,29,2,1,0,0,0,0,0,0,0,,0,5,3,35,11.67,0,0,0,0,,,4,6.5,6.5,5.0,,39,
232,Parris Campbell,IND,WR,25,2,2,0,0,0,0,0,0,0,,0,6,3,37,12.33,0,0,0,0,,,4,6.7,6.7,5.2,,99,
233,Kylen Granson,IND,TE,24,2,1,0,0,0,0,0,0,0,,0,9,5,36,7.20,0,0,0,0,,,4,8.6,8.6,6.1,,38,
234,Dak Prescott,DAL,QB,29,1,1,14,29,134,0,1,2,11,5.50,0,0,0,0,,0,0,0,0,,,4,4.5,5.5,5.5,,34,
235,Pharaoh Brown,HOU,TE,28,2,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,34,
236,K.J. Osborn,MIN,WR,25,2,2,0,0,0,0,0,0,0,,0,6,5,39,7.80,0,0,0,0,,,4,8.9,8.9,6.4,,98,
237,David Sills,NYG,WR,26,2,2,0,0,0,0,0,0,0,,0,4,3,37,12.33,0,0,0,0,,,4,6.7,6.7,5.2,,100,
238,Hassan Haskins,TEN,RB,23,2,0,0,0,0,0,0,9,37,4.11,0,1,1,0,0.00,0,0,0,0,,,4,4.7,4.7,4.2,,64,
