,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
79,Amon-Ra St. Brown,DET,WR,23,6,6,0,0,0,0,0,2,68,34.00,0,50,35,344,9.83,3,0,0,3,,,59,94.2,97.2,76.7,,30,78
80,Tom Brady,TAM,QB,45,8,8,224,340,2267,9,1,12,-5,-0.42,0,0,0,0,,0,3,2,0,,1,122,122.2,128.2,123.2,,12,
81,Kirk Cousins,MIN,QB,34,7,7,175,264,1734,11,5,13,40,3.08,2,0,0,0,,0,2,1,2,,2,121,121.4,130.4,126.4,,13,
82,Justin Herbert,LAC,QB,24,7,7,203,308,2009,12,4,21,48,2.29,0,1,1,-8,-8.00,0,2,2,0,,,120,121.4,130.4,124.9,,14,
83,Jared Goff,DET,QB,28,7,7,159,249,1904,12,6,12,30,2.50,0,1,1,5,5.00,0,4,3,0,1,1,114,114.7,126.7,120.2,,15,
84,Jacoby Brissett,CLE,QB,30,8,8,163,255,1862,7,5,31,142,4.58,2,0,0,0,,0,5,3,2,,,113,112.7,126.7,117.7,,16,
85,Tua Tagovailoa,MIA,QB,24,6,6,130,186,1678,12,3,13,35,2.69,0,0,0,0,,0,1,0,0,,,113,112.6,118.6,115.6,,17,
86,Aaron Rodgers,GNB,QB,39,8,8,182,274,1800,13,4,10,20,2.00,0,0,0,0,,0,6,3,0,,,112,112.0,122.0,116.0,,18,
87,Jimmy Garoppolo,SFO,QB,31,7,6,140,210,1691,11,4,13,23,1.77,1,0,0,0,,0,3,2,1,,,108,107.9,116.9,111.9,,19,
88,Russell Wilson,DEN,QB,34,7,7,134,228,1694,6,4,25,113,4.52,1,1,1,1,1.00,0,1,0,1,,,101,102.2,112.2,105.7,,20,
89,Derek Carr,LVR,QB,31,7,7,149,237,1621,9,5,15,67,4.47,0,0,0,0,,0,3,0,0,,,98,97.5,105.5,102.5,,21,
90,Carson Wentz,WAS,QB,30,6,6,144,232,1489,10,6,19,79,4.16,0,0,0,0,,0,6,1,0,,2,97,97.5,107.5,103.5,,22,
92,Matt Ryan,IND,QB,37,7,7,203,297,2008,9,9,12,11,0.92,0,0,0,0,,0,11,3,0,,,93,93.4,108.4,102.4,,23,
93,Matthew Stafford,LAR,QB,34,7,7,182,258,1763,7,8,10,6,0.60,1,0,0,0,,0,4,3,1,,,83,83.1,97.1,91.1,,24,
94,Davis Mills,HOU,QB,24,7,7,149,236,1502,8,6,9,10,1.11,0,0,0,0,,0,4,1,0,,,79,79.1,89.1,85.1,,25,
95,Andy Dalton,NOR,QB,35,5,5,105,161,1175,9,4,12,28,2.33,0,0,0,0,,0,1,1,0,,1,78,77.8,85.8,81.8,,26,
96,Ryan Tannehill,TEN,QB,34,6,6,95,146,1097,6,3,19,29,1.53,1,0,0,0,,0,2,1,1,,,69,68.8,75.8,71.8,,27,
97,Raheem Mostert,MIA,RB,30,8,6,0,0,0,0,0,101,452,4.48,1,20,13,97,7.46,1,0,0,2,,,67,79.9,82.9,73.4,,24,
98,Kareem Hunt,CLE,RB,27,8,0,0,0,0,0,0,77,305,3.96,3,23,19,117,6.16,1,0,0,4,,,66,85.2,91.2,75.7,,25,
99,James Robinson,2TM,RB,24,8,5,0,0,0,0,0,86,357,4.15,3,12,9,46,5.11,1,1,0,4,,,64,73.3,76.3,68.8,,26,
100,Jeff Wilson,SFO,RB,27,8,6,0,0,0,0,0,92,468,5.09,2,13,10,91,9.10,0,2,2,2,,,64,73.9,78.9,68.9,,27,
101,Najee Harris,PIT,RB,24,8,8,1,1,4,0,0,108,361,3.34,1,28,24,112,4.67,2,1,1,3,,,63,87.5,94.5,75.5,,28,
102,Zach Wilson,NYJ,QB,23,5,5,78,142,1048,3,5,16,44,2.75,1,1,1,2,2.00,1,0,0,2,,,61,61.5,69.5,66.0,,28,
103,Eno Benjamin,ARI,RB,23,8,3,0,0,0,0,0,66,287,4.35,2,32,23,169,7.35,0,0,0,2,1,,60,82.6,88.6,71.1,,29,
104,David Montgomery,CHI,RB,25,7,7,0,0,0,0,0,92,361,3.92,2,14,13,135,10.38,0,1,1,2,,,60,72.6,79.6,66.1,,30,
105,Allen Lazard ,GNB,WR,27,6,6,0,0,0,0,0,0,0,,0,41,26,340,13.08,4,0,0,4,,,58,84.0,87.0,71.0,,31,
106,Michael Pittman Jr.,IND,WR,25,7,7,0,0,0,0,0,0,0,,0,70,51,528,10.35,1,1,1,1,,,57,107.8,111.8,82.3,,32,
107,Michael Carter,NYJ,RB,23,8,6,0,0,0,0,0,73,254,3.48,2,31,24,186,7.75,0,1,0,2,,,56,80.0,86.0,68.0,,31,
108,Mecole Hardman,KAN,WR,24,7,5,0,0,0,0,0,4,31,7.75,2,25,19,218,11.47,3,1,0,5,,,55,73.9,76.9,64.4,,33,
109,Cordarrelle Patterson,ATL,RB,31,4,3,0,0,0,0,0,58,340,5.86,3,7,4,28,7.00,0,0,0,3,,,55,58.8,61.8,56.8,,33,
110,Cooper Rush,DAL,QB,29,6,5,90,156,1020,5,3,9,6,0.67,0,0,0,0,,0,2,0,0,,,55,55.4,61.4,58.4,,29,
111,Devin Singletary,BUF,RB,25,7,7,0,0,0,0,0,71,323,4.55,0,30,23,183,7.96,1,1,1,1,,,55,77.6,84.6,66.1,,34,
112,Jonathan Taylor,IND,RB,23,6,6,0,0,0,0,0,107,462,4.32,1,25,16,71,4.44,0,2,2,1,,,55,71.3,76.3,63.3,,32,
113,Garrett Wilson,NYJ,WR,22,8,4,0,0,0,0,0,1,-2,-2.00,0,59,34,429,12.62,2,0,0,2,,,55,88.7,91.7,71.7,,34,
